,0,1,2,3,3.1,4,5,6,6.1,7,7.1,9,10,12,13,14,15,15.1,16,17,18,19,20,20.1,21,22,23,24,25,26,27,27.1,28,29,29.1,30,32,33,35,37,38,39,40,41,42,43,44,45,46,47,48,49,50,53,54,55,56,58,59,60,61,62,63,66,67,68,69,71,71.1,72,73,74,75,76,78,79,80,81,82,83,84,86,88,89,90,91,93,94,95,96,97,98,99
0,Deceased,Charges fine,Band Member,Worked in production house,Member of,Lead,Meeting with,Mother,Child,Teased on IG story,Guest,Filming Location,Inspired,Attended opening of,Expresses love for,Fight,Developed,Started,Lead actress,Allegedly hinted support for,Granddaughter of,Desired fair credit for,Discourse,From,One-sided Portrayal,Honoured by,Ex-spouse,Fellow housemate,Reviewer,Calls for legal action,Invested in,Patron,Attacked,Hosts Reception,Party Member,Previous Don,Promotion,Debut movie,Heads,Booked in,Residence,Claimed to have been begged to date,Expands to,Pics splashed across,Awarded degree from,Old Don,Finalist,Box office collections,Produced By,Selling of songs,Rumoured Boyfriend,Appointed as Chairman of Governing Council,Tribute,Location of party,Maintains distance,Cast,Replied to question,Involved in rift,Sung by,Sibling,Manages,Damage,Faced issues,Co-appearance,Played by,Collaboration,Conducts Auction of,Premiere Date,Watcher,Performed at,Available on,Retelling of,Dating,Features Character,Respect,Suggested,Disliked,Aimed at,Hosted screening,Aide,Prequel,Mentioned in dialogue,Directed By,Embraces,Featured in advertisement,Offered role,Role in celebration,Received Positive Reviews,Leaked onto,Replica creator,Subject of biography,Desires to release,Requests to stop using music
1,Mourns,Arrested with,Former bandmate,Works in,Advisor,Tied rakhi to,May do tell-all interview with,Mother-daughter,Parent,Shares trailer,Member,Poster in room,Mimicked,Invites to rave parties,Expressed Joy,Dispute Resolution,Founded by,Launch,Actor in movie,Alleged to have asked to compromise with another actor,Great-grandfather,Advance amount deposited,Determines,Places lander on,Portrayal,Honours,Former partner,Co-creator,Critiques,Raised issue in,Charity,,Cheats on,Hosts,Host,Previous work,Promotes assassination illustration,Debut Date,Leads,Plans to book tickets for,Visits,Engaged to,Becomes,Posing together,Believes should have received,Property,Competition,Box Office Collection,Production House,Shares song,Rumoured Relationship,Gang Leader,Dedicated to,Concert Venue,Gets away from,Former Cast,Questioned in,Involves,Sang,Half-sister,Talks with,Missed,Occurred at,Cameo,"Directed, Starred in",Collaborated with,Belongings auctioned at,Premiere on,Audience,Perform inside,Looks like,Reprises,Chatting Partner,Character in,Regret,Suggested fallout,Dislikes,Romantic Interest,Screened in,Helped with dress,Potential sequel,Referred as,Directed by,Affectionately calls,Featured on,Essayed role of,Sangeet ceremony,Blessings,Latest Release,CEO,Biopic Subject,Wanted to work together,Original composer
2,Murder Victim,Banned,Tiff with former bandmate,Work for,Presenter,Affiliation,Want interview with,Mother-Son,,Confirms fake video,Witness,Location of industry,Inspiration for,Attended Ganpati Puja,Expressed disappointment,Protest,Unveiled by,Opening,Actor in,Accused of assaulting,Grandfather-Grandson,Refunded advance payments to,Certifies,Shot,Portrays as messenger,Graduated from,Loved one,Collaborator,Anecdote,Complaint,Donation,,Hacked accounts,Hosts pre-wedding festivities in,Held in,Predecessor,Advertisement,Debut Movie,Operation Head,Reserved seat,Considers as second home,Intended to Marry,Emphasizes,Approached for picture,Award-winning,Co-owner,Contestant,Record Holder,Production Company,Title Change,Rumoured couple,Brand Ambassador,Dedicated song to,Engagement location,Not on talking terms,New Cast,Pestered,Revolve around,Co-singer,Half-brother,Competes with,Returning,Suffers from,Possible guest on podcast,Starring,Collaborative reading,Offered to return signing fee to,World premiere at,Fan,Performer,Posthumously seen in,Reimagining of,Friendship,Voice Cast,Kind gesture,Read as preparation for Oppenheimer,Disapproved of acting career,Fascination with,Censor certification,Helped to come back,Next film,Admitted mistake in referring to,Screenplay Writer,Quality time,Added to story,Offered to move to,Procession,Well-wisher,Releasing,Designer,Subject,Wants to work with,Uses music without permission
3,Final rites,Contests bail,Playmate,Worked on,Client,Connected with,Conversation,Son of,,Showcased,Play,Filmed at,Inspired by,Virtual attendee,Expressed condolences,Protest Location,Originated in,Shooting Start,Lead role,Accusation,Grandparent-Grandchild,Gave demand draft of ₹1 crore,Confirms,Setting,Representation,Achieved remarkable success in,Former Spouse,Colleague,Criticism,FIR against,Donates tickets to,,Ill-treated,Hosted banquet dinner for,Called on stage,Previous film,Promotion Location,Debut in,,Cancelled shows in,Hometown,Engaged,Contributes to,Posed with,Shared award with,Possesses,Possible choice for Roma,Earnings surpassed,Executive Producer,Contains song,Dating rumors,Appointed as President,Apologized to,Engagement venue,Divorced,Supporting Cast,Challenged,Involves sexually explicit content with minors,Lead singer,Half-siblings,Interact with,Missing,Used helmet in,Special guest,Cast in,Collaborated in movies,Sold shares in,Premiere,Participants,Acting in,Searches at,Reprises role,Shopping Companion,Dialogue Writer,Awareness,Fallout,Asked to retire,Interest,Has Screen,Tries to get attention,Sequel,Mentions,Directs,Gives air kiss,Shared meme featuring,Offered film to,Pre-wedding festivities,Celebrates,Releases,Creator,Biopic subject,Wishes,Composer
4,Location of death,Seized during raid,Fan club,Worked at,Organizer,Uniform,Conversation with,Daughter,,Leaked Clips,Played,Filming of,Inspires by,Attends Game,Expressed shock and dismay over,Triumph,Named after,,Earned National Film Award for Best Actor,Victim of extortion,Granddaughter,Financial settlement,Undertakes,Met,Depicts,Honoured at,In a relationship for 7 years,Co-star,Critic Review,Filed FIR against,Gifted jacket to,,Sexual assault,Attended banquet dinner with,Event,Current Project,Hiring,Director of debut film,,Booked under,Requested Stops,Prenuptial agreement,Affected By,Posed together,Grants Certificate,Owner of,Competitor,Box office collection,Producer of,Dedicates Song,Rumoured romance,Transgender Activist,Received tribute from,Reception Venue,Estranged husband,New Don,Started inquiry into,Involved in suicide case,Singer of,Brother-in-law,Chats with,Went missing on,Ailing from,Extended cameo,Starrer,Collaborated,Confirms exit,Premiere hosted by,Viewer,Performs with,Used in,Remake Director,Dance partner,Voice Actor,Gratitude,Suggested Cuts,Movie Disliked By Mother,Excitement,Screened at,Volunteered help,Sequel of,Refers to,Co-star/Director,Hugged from behind,Featured on billboard,Offered film,Ceremony,Positive Experience,Released,Author,Subject of article,Wants to head,Music Company
5,Found dead in,Lifted ban,Bandmate,Works with,Customer,Linked to,Interviewer,Daughter of,,Shared video of,Plays,Located at,Inspiration,Participated in celebrations,Expresses Love,Trolls,Developed by,,Female lead,Victim of Sexual Harassment,Grandmother-granddaughter,Ordered to pay/settlement,Defends,,Represented important issues,Celebrated,Former girlfriend of,Crew member,Comments,Filed complaint in,Donated for,,Victim of,Hosted dinner party,,Dream project of,Promotes,Directorial Debut,,Booked on,Free facilities for Haj pilgrims,Married,Empowers,Danced together,Nomination,Claims rights to,Co-contestant,Box Office Rank,Production Start,Song,Rumored,Science Advisor,Nod to,Reception venue,Strict about boundaries,Cast Member,Answered questions for,Involved in,Sings,Brother,Negotiates with,Losses,Encountered with,Special Guest,Acted in,Collaborating with,Convinced to sell,Premiere at,Participant,Desire to perform in,Appeared on show,Remake in movie,Family,Dubbed in female voice for,Appreciation,Suggested to go to,Break from Acting,Excited to watch,Screening with,Calls for Help,,Mentioned instead of,Directing,First on-screen kiss,Featured in video shared by,Offered role but rejected,Perform anthems,Calls first for good news,Released on,Featured creator,Subject of,Desires to play,Songwriter
6,Funeral in,Dismissed plea,Band member,Operates in,Investor,Line,Interviewed,Father of,,Showcase,Wearing,Location of accident,Resembles,Held Concert,Expressed,"Won""t be tolerated",Inaugurated,,Titular role,Accused of threatening,Grandfather,Payment,Proposes to,,Represents,Conferred Honorary Doctorate,Former boss,Faculty member,Opinion,Lawsuit,Lent money to,,Mocked,,,Upcoming project,Promoted,Debut,,,Tour Stop,Married to,Positive impact on mood and wellbeing,Wanted to take picture with,Award,Has satellite rights,First choice,Surpassed lifetime collection of,Produced by,Breakthrough Song,Reason for Rumored Separation,Chairman,Pays tribute to,Concert venue,Separated,Cast & Makers,Questioned by,Involved in accident with,Singer,Soul sister,Invests in,Lost,Suffered from,Guest on show,Starred in and Produced,Collaborated in Fighter,Broker a deal,Premieres on,Largest Tamil film opener,Performs at,Available in,Recreated iconic look of,Living Together,Announcer,Acknowledgement,,Unhappy with makers,Love interest,Screening banned in,Aid,,Mentioned,Director,Kiss,Featured in brand film,Offered role in,Performed at sangeet ceremony,Congratulated,Released on same date,Created,Subject of song,Prefers,Dancing to tunes
7,Laid to rest at,Adjourned,,Working with,Early investor,Reference,Interviewed by,Mother of,,Target audience,Supposed to play,Medical treatment location,Resemblance,Attending,Expresses sympathy for,Protesting against,Created by,,Iconic role,"Accuser""s attorney",Grandchild-Grandparent,Settled compensation disputes with,Introduces,,Portrayed in,Honors,Ex-girlfriend,Team Member,Reviewed by,Complaint against,Donated,,Failed to beat,,,Previous Project,,Debut film,,,Visiting,Getting married to,Protects against,Seen together,Granted,Has digital rights,Contestant of,Broke the record of,Co-producer,Movie song,Rumored Boyfriend,Former Judge,Paid tribute to,Venue,Forgiven,Cast as Don,Probed in,Revolved around,Original singer,Half-sibling,Interacted with,,Used mask in,Guest Judge,Stars in,Collaborates,Demand for residuals,Premiere event location,Opening Film,Performed in,Appears in,Reprises role from,Professional Relation,Show Character,Condolence message,,Disapproved career choice,Shopping Interest,Screening location,Helped,,Overlooked at,Actor-Director,Hugged,Features in,,Engagement,Positive message for,Airs,Writer,,Desires to act in,Belongs to Genre
8,Survived by,Detained in,,Employed at,Buyer,Variant of,Meeting,Daughter-in-law,,Workout Session,Wore,Located in,Reminded of,Attended,Expressed importance of,Religion,Conceived in,,Male lead,Allegation,Step-grandmother,Paid medical expenses for,Cuts,,Portrayed,Blessed by,Ex-father-in-law,Co-worker,Received comment from,Legal battle against,Donated to,,Victim of domestic violence,,,Upcoming Project,,Directorial debut,,,Vacation destination,Bride and Groom,Under influence of,Met for sponsored ad shoot,Award Winner,Acquires office space in,Runner-up,Box office competition,Co-production,Second biggest hit of the year,Rumored boyfriend,Party Leader,Pays homage to,,Misunderstanding spawned between,Former cast member,Asked about sexual orientation,Centers around,,Niece,Interacts,,,Cameo role,Costar,Shared results of,Intended to purchase,,Movie viewer,Performing on,Appeared on,Remake in Hindi,Romantic Partner,Voice-actor,,,Disappointed with reception,Excited About,Attended screening,Helps,,Rename suggested,Created and Directed by,On-screen kiss,Featuring,,Celebration,Complimented,Release,Leader,,Wants to watch,Has music rights
9,Died at,Cancelled Arrest Warrant,,Works for,Owner,Link,Met with,Father,,Showstopper,Performed,Location of incident,Mimics,Attended birthday bash of,Expressed concern,Threat,Organized at,,Famous role,Accused of copying,Grandson,,Nominates,,Tattoo of face on arm,Celebrated in,Previous Marriage,Co-actor,Commented about,Filed charge against,Raised funds for,,Assaulted,,,Previous references for the character,,Debut Movie Director,,,Primary home,,Part of,Met on set of,Award Show,Owned,Antagonist,Surpassed Indian collections of,Production by,Song Launch,Rumored Participant,Spokesperson,Created pendant for,,Estranged,Current cast member,Questioning,Involved in court case,,Siblings,Enters,,,Cameo Appearance,Also stars,Collaborated on,Interested in buying his flat,,Movie Release,Perform with,Popular in,Remake in Telugu,Union,Voiceover,,,,Interest in,Opposes Screening,Responded to help find phone,,Intended to mention,Director-Actor,Love,Featured in,,,Welcomes amendments to,Launches,Scene creator,,Desires to work with,Dancer
